filepath,content_sha256,content_git,content_cid
CLAUDE.md,b4c8b20679c670f9b5adb08e3cbb239efc555e0705883eb0def295bc12ba342d,55c38dae76be9a7fc82fd89b0de66f5fe0d484a7cc94594ef4f12dbc324eefc3,QmNwvubv2KpTeugGN29uBnaZhZkDCwG4kMrx2vAEBk9nPo
README.md,8650b339644a425fbd9f77a71c274493c2b7bdcea2aed2bb59b5b178a60d9fce,8c7282879a39ce83d32c62b2df0d50bf235b3ebfa6766725112ecead064822bf,QmXQ2FvwDMQ4ymAVfZVyKCTC5d9mbkHKxPeLqMQrcRjqPu
clog,,29586663d35676f899bf7d83a2857c501099a387529d069f8570305863c0d3bb,
clog/CLAUDE.md,8b40bc9db9d71fa0394db4f8e0d2319f5ab03492af8bea7c75c5595c2d22df76,8c43a5043f7f1d1e5c72890b1c654e6040ca940a34dd74ea16e8285a3e43b627,QmTRXDktoWsERrjyXcxjPHnLBPALdyFkmXTjHE8AdsSER2
drafts,,6bfabfad37c06258212a1e9482a1120e1c6a5facd54d2cc352c084d5204fbc31,
drafts/20260304-git-merkle-proofs-analysis.md,8fedf567fcd8d9f1badb18cb5c6c625478f1658990f18b3479f022696a627e47,0941b86f0d92d1cecdaddba1a4899d9227b35920b230b86f450fed67ce992af9,QmT2VdZiVYrxAVvRvEV5NNE4uMWs3SxzpBUENUmMqDL99F
drafts/conversation-cybergraph-spec.md,b525c6760d70283d8479f2b73a97f0f4028684eeb8bbc36f607a3d95f9024c8a,20031219ad9b94377f936cdaf1c8a2e5aeab75a8f67b35591f5d99f0510941b7,QmdaYn2e3F8Y1TXNgfBZvUJYy1YuyRgX53qGLiVx76pjUa
multiproofs,,f945b92c652e3e99be47a3f5be5bb596e35b073b730b85f038d48c410cd32288,
multiproofs/ots-timestamps,,582eb0e1da82d29a4e6e657fbd27d9c645bd717050c2f30be236bea39cacb931,
multiproofs/ots-timestamps/tree-hashes.1498D35C,,abc3cf81f59f7ce39fbcb0d0cb0653431ba612d369a96d224131288a9658b5fc,
multiproofs/ots-timestamps/tree-hashes.1498D35C/tree-hashes.csv,1498d35c1025e8c504b173dc1fec912b623aff2c05fd882c5ed47db42dc4f69e,f47ef7db00f1d1ffd8c0d97f0013495aec73c2d81580cbc096ad0d8984863142,QmRBzuWocbWGDi3To5V9Qoh9BqmopegYraT7Y2LnFj3PFj
multiproofs/ots-timestamps/tree-hashes.1498D35C/tree-hashes.ots,6765a353ee80a80b65ecffa7b0204990b456f81edd29699af5b38504247cad9b,9aef6dada4157b86b31c20c94b040224ed93f4ae22940faacc359e7e8ae94682,QmXoAkwskd6VL9A7JhMZgRi8LsQJh1HbUYiEecKcssxBNe
multiproofs/ots-timestamps/tree-hashes.269D3CAA,,a3cba2d798f595fee43d3372082a618deb1e199ab88046920d739228772fdb87,
multiproofs/ots-timestamps/tree-hashes.269D3CAA/tree-hashes.csv,269d3caa92920bb589e4412f2857bf7f1fa3e9ab00f8f04ab9962f9453a2c977,fd5c3659ca82925dab81eff2986229083b3ef30d624e8443db860dd01387fbc9,QmQdSEkEDMd963JvC7oUXhsYYH7rKZQ5X6fkt5hPry5pig
