filepath,content_sha256,content_git,content_cid
LICENSE,bdc621ac7a1584adf7ec6e233ba43c8506d6c5e34979b0b5aa1a367dd33703b3,2d88af9607de25e02835f610e3dc08b69913985212e10dc5591c8a6d917fceda,QmbLriwuBH6KP23uxbCqYR8eRaRyagCYG3PSP8iUn1MZtG
README.md,c88f56abb7c9fde1c00cb167958b578b99ae18567b34988f1fac51525d628c19,b2345b5b462e417f2525d531600deac77781cd7405fe19e82257b9f6f5d8473b,Qmege88ViDHyW52a9ynVXrbac6RRNJ1uZfMi3Ada1CG34d
multiproofs,,8432fea725c7bfdac23066ef54385cfadcdc33f66a394e3dccecfd581be85016,
multiproofs/ots-timestamps,,1f3d6a4c56b58588e9373237b22c75de54aca309d23759fae2ccff5a898d3f81,
multiproofs/ots-timestamps/tree-hashes.8B72D69F,,deade28b45c66f4f4c8a857ffc7dede3df59880d330352fed9c99a8134422e65,
multiproofs/ots-timestamps/tree-hashes.8B72D69F/tree-hashes.csv,8b72d69fc3eb76615505167add4e1b9d6a0e4803976e9e97e6fc2e867a0fb9bf,e79a6588879cbcb6ab2fb8034fde4c95940bae4d65d0a4125c2810b2d8754b11,QmXECm6FWsdBS95Pn9mqmv8SPNh8z6dXdL6bz5FtAzXmsC
multiproofs/ots-timestamps/tree-hashes.8B72D69F/tree-hashes.ots,d6f265c9a417f9d55ff46c17a41efd5f3e29c779b03296b67a9bf13108096a50,e2099a9f1026f3e7b23a3c9e4716b3fc664ed6a865a298218542612925587860,QmcUxXSBCod6P3Xzemd6peJFQRGGJs7EnTetpiUiKwzGcx
multiproofs/ots-timestamps/tree-hashes.9AC7A5E9,,e98beaabc5a8482dd5e33c6a48b1806e0e3c39fc5feb64987acb46f075dda660,
multiproofs/ots-timestamps/tree-hashes.9AC7A5E9/tree-hashes.csv,9ac7a5e9ff7e2fd2da735f2883497c0df20e6c07902688d55527cf93efdcd3c1,d20dee243eb447da1eb9f0d65937f4c660611da5935b24aa847540607f926e93,QmeXrmGEVtZ7SdiyVmZBryLCoW9eFPE2Hga2f21WxLDCu1
multiproofs/ots-timestamps/tree-hashes.9AC7A5E9/tree-hashes.ots,c8580113b8ea95114119fbe0f9175c8df43142ec79620a2caced7e163b372228,9b57f15b6c3822d93def4dc56975927a3075a91c25616211ae4bf1a047ef80bb,QmcpMM2S1UxjumEBgntycGthK6Lcv3TtgyikaRkiczpbYD
multiproofs/ots-timestamps/tree-hashes.A020E1F8,,2c007f0fade0c3796ae9ab0212c5fa5da19b6305c597f7f88dd018f37c45d057,
multiproofs/ots-timestamps/tree-hashes.A020E1F8/tree-hashes.csv,a020e1f8dc8d39b3ccfd79e38739241132c326b38872bfdfb39ca6473fa60cec,a9f01fad0f326cb9a5b70e3572eed49fa86b5348a415bbdaac0091f6a4e1cfd9,QmarNxLS9EYZdpCvdh6pXGVwUHrEHULqvnxw9pzwu4yFwW
multiproofs/ots-timestamps/tree-hashes.A020E1F8/tree-hashes.ots,04001d045b7f11318e9aa69855c06e3db6a13c825572cc0e2380fada780c6bd1,a6d0cb76ff34e91b797f18ffea0bcc4af82239bc338188e2f32dbe18456f5359,Qmas31NYx6AineQbvzRKDxntJbzV4A9Q72qx5kipdQuG83
multiproofs/provenance,,a9a8c4e29e6272221e76120f8f83cba5b4502e0adc172eac3896a5fb99f146bb,
multiproofs/provenance/git-proof,,da148fa7cff18291066ae6d4baa3b80add29bc1cab0ff4651172da50bdc5cae7,
